timestamp,trading_pair,direction,price,quantity,account_balance_change,status,mode,event,size_usd,realized_pnl,cash_change,cash_after,equity_after,fill_id,position_id,label,source,signal_type,exit_status
2026-09-09T13:20:07.412654+00:00,XAG/USDT:USDT,short,67.2,1.488095238095,0,filled,hub_demo,open,100,0,-100,9827.573445,9927.573445,fill_48beb6c95aca,pos_f042d85cb893,DEMO,hub_demo,LEVEL_CROSS_UP,
2026-09-09T13:31:26.670514+00:00,SKHY/USDT:USDT,short,189.47,0.527788040323,0,filled,hub_demo,open,100,0,-100,9727.573445,9927.573445,fill_5042a442867b,pos_728ee2f3003f,DEMO,hub_demo,LEVEL_CROSS_UP,
2026-09-09T13:45:21.580791+00:00,DOGE/USDT:USDT,short,0.09127,1095.650268434316,0,filled,hub_demo,open,100,0,-100,9627.573445,9927.573445,fill_3e44a6536ff8,pos_64f932cac74d,DEMO,hub_demo,BEARISH_DIV,
2026-09-09T13:48:35.574303+00:00,SKHY/USDT:USDT,short,193.1,0.527788040323,-1.91587059,filled,paper_shadow,close,100,-1.91587059,98.08412941,9725.65757441,9925.65757441,fill_601732fc9b4e,pos_728ee2f3003f,DEMO,paper_shadow,LEVEL_CROSS_UP,sl_hit
2026-09-09T14:01:31.476222+00:00,MSTR/USDT:USDT,long,136.56,0.732278851787,0,filled,hub_demo,open,100,0,-100,9625.65757441,9925.65757441,fill_913291f572d6,pos_b3eff2f55f06,DEMO,hub_demo,LEVEL_CROSS_DOWN,
2026-09-09T15:12:18.622428+00:00,ADA/USDT:USDT,long,0.2151,464.900046490005,0,filled,hub_demo,open,100,0,-100,9525.65757441,9925.65757441,fill_3a9ee1d8b8c9,pos_ffa8c4be2846,DEMO,hub_demo,LEVEL_CROSS_DOWN,
2026-09-09T15:22:38.998321+00:00,XRP/USDT:USDT,long,1.4062,71.113639596074,0,filled,hub_demo,open,100,0,-100,9425.65757441,9925.65757441,fill_a5eb6042873f,pos_36de67cc411f,DEMO,hub_demo,LEVEL_CROSS_DOWN,
2026-09-09T15:22:53.620769+00:00,DOGE/USDT:USDT,short,0.0891828571,1095.650268434316,2.28677863,filled,hub_demo,close,100,2.28677863,102.28677863,9527.94435305,9927.94435305,fill_c6e7bfea82d1,pos_64f932cac74d,DEMO,hub_demo,BEARISH_DIV,trailing_hit
2026-09-09T15:22:54.959296+00:00,MSTR/USDT:USDT,long,133.29,0.732278851787,-2.39455185,filled,paper_shadow,close,100,-2.39455185,97.60544815,9625.5498012,9925.5498012,fill_6a5ba8f15bea,pos_b3eff2f55f06,DEMO,paper_shadow,LEVEL_CROSS_DOWN,sl_hit
2026-09-09T15:24:03.189075+00:00,PEPE/USDT:USDT,long,0.0000035569,28114369.254125781357,0,filled,hub_demo,open,100,0,-100,9525.5498012,9925.5498012,fill_919f3987d6fc,pos_a981d79f316e,DEMO,hub_demo,LEVEL_CROSS_DOWN,
2026-09-09T16:31:13.221206+00:00,ETH/USDT:USDT,long,2478.53,0.040346495705,0,filled,hub_demo,open,100,0,-100,9425.5498012,9925.5498012,fill_d85cc625fc6c,pos_55a1a13d9b2e,DEMO,hub_demo,BULLISH_DIV,
2026-09-09T16:31:19.951614+00:00,LINK/USDT:USDT,long,11.925,8.385744234801,0,filled,hub_demo,open,100,0,-100,9325.5498012,9925.5498012,fill_6ca0a710b921,pos_c1480c23dc38,DEMO,hub_demo,BULLISH_DIV,
2026-09-09T19:30:02.362976+00:00,NEAR/USDT:USDT,short,2.6181,38.195638058134,0,filled,hub_demo,open,100,0,-100,9225.5498012,9925.5498012,fill_ccab3d0b8afb,pos_381a860ea8f9,DEMO,hub_demo,BEARISH_DIV,
2026-09-09T19:35:41.632192+00:00,NEAR/USDT:USDT,short,2.5712714286,38.195638058134,1.78864717,filled,hub_demo,close,100,1.78864717,101.78864717,9327.33844837,9927.33844837,fill_a37f89fbc745,pos_381a860ea8f9,DEMO,hub_demo,BEARISH_DIV,trailing_hit
2026-09-09T21:15:19.165596+00:00,NVDA/USDT:USDT,long,223.81,0.446807559984,0,filled,hub_demo,open,100,0,-100,9227.33844837,9927.33844837,fill_ae3f212498de,pos_df8058635937,DEMO,hub_demo,BULLISH_DIV,
2026-09-09T21:21:53.950173+00:00,XAG/USDT:USDT,short,67.52,1.488095238095,-0.47619048,filled,hub_demo,close,100,-0.47619048,99.52380952,9326.86225789,9926.86225789,fill_73ffc3d9d70e,pos_f042d85cb893,DEMO,hub_demo,LEVEL_CROSS_UP,trailing_hit
