symbol,side,size_usd,entry,opened_ts,actual_pnl,actual_status,cf_pnl,cf_status,cf_legs,delta,tp1_taken,tp1,tp2,error,source
AVAX/USDT:USDT,short,500.0,7.61,2026-09-10T21:45:04.084869+00:00,8.5413929,exchange_closed,6.241787,tp2_hit,tp1_hit@7.524(+2.83)+tp2_hit@7.506(+3.42),-2.2996058999999995,True,7.552925,7.514875,,paper
SHIB/USDT:USDT,short,500.0,5.109e-06,2026-09-10T21:45:06.130842+00:00,1.85946369,exchange_closed,6.654923,tp2_hit,tp1_hit@5.06e-06(+2.40)+tp2_hit@5.022e-06(+4.26),4.79545931,True,5.0706825e-06,5.0451374999999994e-06,,paper
SAMSUNG/USDT:USDT,short,500.0,193.6,2026-09-11T07:00:08.225482+00:00,-0.82644628,exchange_closed,-1.420455,sl_hit,sl_hit@194.15(-1.42),-0.59400872,False,192.1182142857143,191.13035714285712,,paper
LTC/USDT:USDT,short,500.0,53.25,2026-09-11T08:30:09.775992+00:00,15.17229438,exchange_closed,5.443075,tp2_hit,tp1_hit@52.8506(+1.87)+tp2_hit@52.49(+3.57),-9.72921938,True,52.850625,52.584375,,paper
BTC/USDT:USDT,long,100.0,76893.2,2026-09-11T12:33:46.091362+00:00,0.30531959,exchange_closed,0.30531959,exchange_closed,same_bar_keep_actual(83s),0.0,False,,,,hub_demo
龙虾/USDT:USDT,short,277.22165421,0.074893,2026-09-12T01:45:11.545996+00:00,0.42568051,sl_hit,0.42568051,sl_hit,same_bar_keep_actual(2s),0.0,False,,,,hub_demo
TRX/USDT:USDT,short,500.0,0.33942,2026-09-12T01:45:04.218010+00:00,0.0,trailing_hit,-2.798892,sl_hit,sl_hit@0.34132(-2.80),-2.798892,False,0.33687435,0.33517725,,hub_demo
COIN/USDT:USDT,short,500.0,175.77,2026-09-14T09:15:08.233867+00:00,-10.21220914,sl_hit,-5.916823,sl_hit,sl_hit@177.85(-5.92),4.295386140000001,False,174.451725,173.572875,,paper
HOOD/USDT:USDT,long,500.0,113.79,2026-09-14T14:30:10.905879+00:00,,still_open,3.388039,trailing_hit,trailing_hit@114.561(+3.39),,False,115.6875,116.9525,,hub_demo
SUI/USDT:USDT,long,100.0,0.72904578,2026-09-14T16:30:00+00:00,0.0,trailing_hit,1.525767,tp2_hit,tp1_hit@0.7374(+0.57)+tp2_hit@0.742939(+0.95),1.525767,True,0.7373814942857142,0.7429386371428571,,paper_live_reconstructed
